name,movie,drama
T.S. Studio,True,False
Korea Educational Broadcasting System (EBS),True,True
TakToon Enterprise,False,True
Mass Ornament Films,True,False
Hanwha Entertainment Fund No. 1,True,False
Beasts And Natives Alike,True,False
Dong Hyeop Trading Company,True,False
(주)컬처캡코리아,True,False
Samdo Films,True,False
SM Culture & Contents,True,True
YROTS,True,False
Ryozanpaku Entertainment,True,False
BeTV,True,False
Jeong Film,True,False
SHOTCAKE,True,True
Studio TNT,False,True
Mayplus,True,False
Blue Bus Pictures,True,False
"Cinemaseoul Co.,Ltd.",True,False
Sunwoo Entertainment,True,False
Lee Film,True,False
Beijing Film Academy,True,False
Meditation With a Pencil,True,False
Shami Media Group,True,False
Borderless Film,True,True
IOK Media,True,True
Godin Media,False,True
Y2 Cinema,True,False
Mega Monster,False,True
Studio 329,False,True
Mohm Pictures,True,False
China Film Group Corporation,True,False
Filosophia,True,False
Slight Movie Studio,True,False
Lee Yong-min Productions,True,False
Film It Suda,True,False
Jackfilms,True,False
스파이어 (Spire),True,False
Sangeori Pictures,True,False
Bear Entertainment,True,False
DMZ Docs,True,False
Blade Entertainment,False,True
Ssoah Film,True,False
Lion Rock Productions,True,False
Bleeding Brothers,True,False
PH E&M,False,True
Giraffe Slide,True,False
CNK International,False,True
Iron Pack,True,False
Se-kyeong Productions,True,False
Devil Groove Pictures,True,False
Swing Entertainment,True,False
Amber Films,True,True
AStory,True,True
Studio Box,True,False
노바엔터테인먼트,True,False
"Dong Bo Films Co., Ltd",True,False
Golden Network Asia,True,False
Lotte Cinema Arte,True,False
Major Town,True,False
Thymos Media,False,True
Vera Lasut Production,True,False
New Danish Screen,True,False
Boogui Cinema,True,False
Hong-Jong Corporation,True,False
Olive Nine,True,True
Chorokbaem Media,False,True
Simplex Films,True,False
Tube Pictures,True,False
OD ENT,True,False
TS narin cinema,True,False
Celltrion Entertainment,True,True
Filament Pictures,True,False
Sahamongkolfilm,True,False
Saehan Productions,True,False
Pyongyang Film Studios,True,False
Peppermint&company,True,False
Alpha Pictures,True,False
K-STAR,False,True
Choi Brothers Films,True,False
Tori Pictures,True,False
1 Production Film Company,True,False
Cineworld,True,False
